idMiscellaneous,subject,reading,createdat
651,speedreading,1740555900:W1:5881:0~1740555900:BV:834~,"2025-02-26 07:45:10"
50024,speedreading,"{"Datetime": [34, 51, "07", "WED", 26, 2, 2025], "Data": [{"ar": "0", "BCFR": "0", "VN": "C", "ACFR": "0", "A1": "LC", "NN": "A", "F1": "0", "F2": "0", "ACR": "c"}]}","2025-02-26 07:51:37"
860,speedreading,1740556522:BV:2567,"2025-02-26 07:55:25"
108,getconfigrun,success,"2025-02-26 08:00:07"
108,speedreading,1740556800:W1:7017:0~1740556800:BV:436~,"2025-02-26 08:00:07"
50024,speedreading,"{"Datetime": [14, "02", "08", "WED", 26, 2, 2025], "Data": [{"ar": "0", "BOFR": "0", "VN": "A", "AOFR": "0", "A1": "LO", "NN": "A", "F1": "0", "F2": "0", "ACR": "A"}]}","2025-02-26 08:02:18"
531,getconfigrun,success,"2025-02-26 08:07:43"
531,speedreading,1740555360:E1:19954~1740555360:W1:19895:0~1740555360:BV:393~1740557280:W0:13463:30:200:0~1740557280:BV:393~,"2025-02-26 08:07:44"
108,getconfigrun,success,"2025-02-26 08:10:06"
108,speedreading,1740557400:W0:5636:17:200:0~1740557400:BV:434~,"2025-02-26 08:10:06"
651,getconfigrun,success,"2025-02-26 08:15:09"
651,speedreading,1740557700:W0:4986:114:400:0~1740557700:BV:834~,"2025-02-26 08:15:09"
50024,speedreading,"{"Datetime": [33, 21, "08", "WED", 26, 2, 2025], "Data": [{"ar": "0", "BCFR": "0", "VN": "A", "ACFR": "0", "A1": "LC", "NN": "A", "F1": "54", "F2": "0", "ACR": "a"}]}","2025-02-26 08:21:37"
652,getconfigrun,success,"2025-02-26 08:30:02"
652,speedreading,1740558600:W1:5819:0~1740558600:BV:816~,"2025-02-26 08:30:02"
106,getconfigrun,success,"2025-02-26 08:30:05"
106,speedreading,1740558600:W1:7400:0~1740558600:BV:449~,"2025-02-26 08:30:06"
50024,speedreading,"{"Datetime": [14, 32, "08", "WED", 26, 2, 2025], "Data": [{"ar": "0", "BOFR": "0", "VN": "D", "AOFR": "0", "A1": "LO", "NN": "A", "F1": "0", "F2": "0", "ACR": "D"}]}","2025-02-26 08:32:18"
106,getconfigrun,success,"2025-02-26 08:36:03"
106,speedreading,1740558960:W0:4845:183:200:0~1740558960:BV:448~,"2025-02-26 08:36:03"
878,speedreading,1740559223:BV:2695,"2025-02-26 08:40:25"
872,speedreading,1740559224:BV:32767,"2025-02-26 08:40:27"
875,speedreading,1740559249:BV:2604,"2025-02-26 08:40:50"
652,getconfigrun,success,"2025-02-26 08:50:02"
652,speedreading,1740559800:W0:5554:43:400:0~1740559800:BV:818~,"2025-02-26 08:50:02"
50024,speedreading,"{"Datetime": [34, 51, "08", "WED", 26, 2, 2025], "Data": [{"ar": "0", "BCFR": "0", "VN": "D", "ACFR": "0", "A1": "LC", "NN": "A", "F1": "29", "F2": "0", "ACR": "d"}]}","2025-02-26 08:51:38"
860,speedreading,1740560121:BV:2572,"2025-02-26 08:55:26"
656,getconfigrun,success,"2025-02-26 09:21:10"
656,speedreading,1740476460:E2:16203~1740476460:W0:16141:139:200:0~1740476460:BV:415~1740561660:W1:11262:0~1740561660:BV:413~,"2025-02-26 09:21:10"
612,getconfigrun,success,"2025-02-26 09:34:09"
612,speedreading,1740562440:W1:6491:0~1740562440:BV:532~,"2025-02-26 09:34:10"
612,getconfigrun,success,"2025-02-26 09:40:08"
612,speedreading,1740562800:W0:5051:89:200:0~1740562800:BV:533~,"2025-02-26 09:40:08"
878,speedreading,1740562823:BV:3300,"2025-02-26 09:40:24"
875,speedreading,1740562868:BV:2669,"2025-02-26 09:41:10"
860,speedreading,1740563723:BV:2594,"2025-02-26 09:55:26"
609,getconfigrun,success,"2025-02-26 10:05:22"
609,speedreading,1740564300:W1:5668:0~1740564300:BV:529~,"2025-02-26 10:05:22"
609,getconfigrun,success,"2025-02-26 10:27:21"
609,speedreading,1740565620:W0:4885:9:200:0~1740565620:BV:530~,"2025-02-26 10:27:21"
860,speedreading,1740567323:BV:2619,"2025-02-26 10:55:25"
539,getconfigrun,success,"2025-02-26 11:00:14"
539,speedreading,1740567600:W1:5653:0~1740567600:BV:448~,"2025-02-26 11:00:14"
539,getconfigrun,success,"2025-02-26 11:25:13"
539,speedreading,1740569100:W0:5002:0:200:0~1740569100:BV:426~,"2025-02-26 11:25:13"
878,speedreading,1740570023:BV:3300,"2025-02-26 11:40:24"
860,speedreading,1740570922:BV:3300,"2025-02-26 11:55:24"
610,getconfigrun,success,"2025-02-26 12:03:26"
610,speedreading,1740571380:W1:13412:0~1740571380:BV:523~,"2025-02-26 12:03:26"
610,getconfigrun,success,"2025-02-26 12:07:18"
610,speedreading,1740571620:W0:4963:0:200:0~1740571620:BV:524~,"2025-02-26 12:07:18"
875,speedreading,1740573668:BV:3300,"2025-02-26 12:41:11"
860,speedreading,1740574523:BV:3300,"2025-02-26 12:55:24"
872,speedreading,1740577223:BV:3219,"2025-02-26 13:40:28"
875,speedreading,1740577249:BV:3300,"2025-02-26 13:40:52"
860,speedreading,1740578122:BV:3300,"2025-02-26 13:55:25"
878,speedreading,1740580823:BV:2637,"2025-02-26 14:40:24"
872,speedreading,1740580823:BV:28671,"2025-02-26 14:40:26"
875,speedreading,1740580847:BV:3300,"2025-02-26 14:40:50"
860,speedreading,1740581723:BV:3300,"2025-02-26 14:55:25"
543,getconfigrun,success,"2025-02-26 15:00:11"
543,speedreading,1740582000:W1:5780:0~1740582000:BV:509~,"2025-02-26 15:00:11"
878,speedreading,1740584423:BV:2658,"2025-02-26 15:40:25"
860,speedreading,1740585323:BV:3300,"2025-02-26 15:55:25"
613,getconfigrun,success,"2025-02-26 16:00:12"
613,speedreading,1740585600:W1:7019:0~1740585600:BV:820~,"2025-02-26 16:00:13"
528,getconfigrun,success,"2025-02-26 16:00:19"
528,speedreading,1740585600:W1:8635:0~1740585600:BV:428~,"2025-02-26 16:00:19"
528,getconfigrun,success,"2025-02-26 16:04:15"
528,speedreading,1740585840:W0:4897:14:201:0~1740585840:BV:429~,"2025-02-26 16:04:16"
655,getconfigrun,success,"2025-02-26 16:08:11"
655,speedreading,1740586080:W1:6622:0~1740586080:BV:428~,"2025-02-26 16:08:11"
625,getconfigrun,success,"2025-02-26 16:10:08"
625,speedreading,1740586200:W1:8575:0~1740586200:BV:406~,"2025-02-26 16:10:08"
625,getconfigrun,success,"2025-02-26 16:14:04"
625,speedreading,1740586440:W0:4835:33:200:0~1740586440:BV:409~,"2025-02-26 16:14:05"
543,getconfigrun,success,"2025-02-26 16:16:10"
543,speedreading,1740586560:W0:4906:0:200:0~1740586560:BV:513~,"2025-02-26 16:16:10"
613,getconfigrun,success,"2025-02-26 16:20:11"
613,speedreading,1740586800:W0:6037:407:1001:0~1740586800:BV:824~,"2025-02-26 16:20:13"
872,speedreading,1740588023:BV:2661,"2025-02-26 16:40:25"
875,speedreading,1740588046:BV:2864,"2025-02-26 16:40:50"
860,speedreading,1740588923:BV:3300,"2025-02-26 16:55:25"
109,getconfigrun,success,"2025-02-26 17:00:07"
109,speedreading,1740589200:W1:6710:0~1740589200:BV:854~,"2025-02-26 17:00:07"
655,getconfigrun,success,"2025-02-26 17:12:09"
655,speedreading,1740589920:W0:5037:145:200:0~1740589920:BV:427~,"2025-02-26 17:12:09"
53,getconfigrun,success,"2025-02-26 17:18:17"
53,speedreading,1740590280:W1:5762:0~1740590280:BV:453~,"2025-02-26 17:18:18"
872,speedreading,1740591622:BV:2637,"2025-02-26 17:40:25"
875,speedreading,1740591647:BV:2710,"2025-02-26 17:40:49"
860,speedreading,1740592523:BV:2681,"2025-02-26 17:55:26"
524,getconfigrun,success,"2025-02-26 18:00:14"
524,speedreading,1740592800:W1:6194:0~1740592800:BV:408~,"2025-02-26 18:00:14"
109,getconfigrun,success,"2025-02-26 18:01:05"
109,speedreading,1740592860:W0:4988:66:200:0~1740592860:BV:852~,"2025-02-26 18:01:05"
117,getconfigrun,success,"2025-02-26 18:01:06"
117,speedreading,1740592860:W1:5871:111~1740592860:BV:600~,"2025-02-26 18:01:07"
524,getconfigrun,success,"2025-02-26 18:04:16"
524,speedreading,1740593040:W0:8406:6:200:0~1740593040:BV:409~,"2025-02-26 18:04:17"
53,getconfigrun,success,"2025-02-26 18:21:19"
53,speedreading,1740594060:W0:7500:140:200:0~1740594060:BV:454~,"2025-02-26 18:21:19"
644,getconfigrun,success,"2025-02-26 18:30:17"
644,speedreading,1740594600:W1:13470:0~1740594600:BV:794~,"2025-02-26 18:30:18"
644,getconfigrun,success,"2025-02-26 18:36:16"
644,speedreading,1740594960:W0:11935:3:200:0~1740594960:BV:792~,"2025-02-26 18:36:16"
878,speedreading,1740595222:BV:2632,"2025-02-26 18:40:24"
654,getconfigrun,success,"2025-02-26 18:46:05"
654,speedreading,1740595560:W1:5944:0~1740595560:BV:442~,"2025-02-26 18:46:06"
654,getconfigrun,success,"2025-02-26 18:50:04"
